0	 62.00 	 200.00 	3
62	 62.00 	 200.00 	3
124	 62.00 	 200.00 	3
186	 62.00 	 200.00 	3
248	 62.00 	 200.00 	3
310	 62.00 	 200.00 	3
372	 62.00 	 200.00 	3
434	 62.00 	 200.00 	3
496	 62.00 	 200.00 	3
558	 62.00 	 200.00 	3
620	 62.00 	 200.00 	3
682	 62.00 	 200.00 	3
744	 62.00 	 200.00 	3
806	 62.00 	 200.00 	3
868	 62.00 	 200.00 	3
930	 62.00 	 200.00 	3
992	 62.00 	 200.00 	3
1054	 62.00 	 200.00 	3
1116	 62.00 	 200.00 	3
1178	 62.00 	 200.00 	3
1240	 62.00 	 200.00 	3
1302	 62.00 	 200.00 	3
1364	 62.00 	 200.00 	3
1426	 62.00 	 200.00 	3
1488	 62.00 	 200.00 	3
1550	 62.00 	 200.00 	3
1612	 62.00 	 200.00 	3
1674	 62.00 	 200.00 	3
1736	 62.00 	 200.00 	3
1798	 62.00 	 200.00 	3
1860	 62.00 	 200.00 	3
1922	 62.00 	 200.00 	3
1984	 62.00 	 200.00 	3
