0	 128.00 	 200.00 	
310	 128.00 	 200.00 	
620	 128.00 	 200.00 	
930	 128.00 	 200.00 	
1240	 128.00 	 200.00 	
1550	 128.00 	 200.00 	
1860	 128.00 	 200.00 	
2170	 128.00 	 200.00 	
2480	 128.00 	 200.00 	
2790	 128.00 	 200.00 	
3100	 128.00 	 200.00 	
3410	 128.00 	 200.00 	
3720	 128.00 	 200.00 	
4030	 128.00 	 200.00 	
4340	 128.00 	 200.00 	
4650	 128.00 	 200.00 	
4960	 128.00 	 200.00 	
5270	 128.00 	 200.00 	
5580	 128.00 	 200.00 	
5890	 128.00 	 200.00 	
6200	 128.00 	 200.00 	
6510	 128.00 	 200.00 	
6820	 128.00 	 200.00 	
7130	 128.00 	 200.00 	
7440	 128.00 	 200.00 	
7750	 128.00 	 200.00 	
8060	 128.00 	 200.00 	
8370	 128.00 	 200.00 	
8680	 128.00 	 200.00 	
8990	 128.00 	 200.00 	
9300	 128.00 	 200.00 	
9610	 128.00 	 200.00 	
9920	 128.00 	 200.00 	
