0	 128.00 	 200.00 	
186	 128.00 	 200.00 	
372	 128.00 	 200.00 	
558	 128.00 	 200.00 	
744	 128.00 	 200.00 	
930	 128.00 	 200.00 	
1116	 128.00 	 200.00 	
1488	 128.00 	 200.00 	
1674	 128.00 	 200.00 	
1860	 128.00 	 200.00 	
2232	 128.00 	 200.00 	
2418	 128.00 	 200.00 	
2790	 128.00 	 200.00 	
2976	 128.00 	 200.00 	
3162	 128.00 	 200.00 	
3348	 128.00 	 200.00 	
3534	 128.00 	 200.00 	
3720	 128.00 	 200.00 	
4278	 128.00 	 200.00 	
4464	 128.00 	 200.00 	
4650	 128.00 	 200.00 	
4836	 128.00 	 200.00 	
5022	 128.00 	 200.00 	
5394	 128.00 	 200.00 	
5580	 128.00 	 200.00 	
5766	 128.00 	 200.00 	
5952	 128.00 	 200.00 	
6324	 128.00 	 200.00 	
6696	 128.00 	 200.00 	
6882	 128.00 	 200.00 	
7068	 128.00 	 200.00 	
7254	 128.00 	 200.00 	
7440	 128.00 	 200.00 	
7626	 128.00 	 200.00 	
7988	 128.00 	 200.00 	
8174	 128.00 	 200.00 				
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
